epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3891,2.33257,4.14767,1.32501,0.00044,0.00952,0.00024,7e-05,1.87086,3.90734,1.10228,2.858e-05,2.858e-05,2.858e-05
2,18.2063,2.09464,3.9479,1.19414,0.00272,0.05714,0.00217,0.0009,1.79147,3.87657,1.05093,7.00353e-05,7.00353e-05,7.00353e-05
3,23.6722,1.93407,3.56698,1.12347,0.00642,0.13391,0.0468,0.01168,1.8024,3.8366,1.0547,0.000109793,0.000109793,0.000109793
4,29.1554,1.96572,3.06926,1.09754,0.01086,0.20231,0.10812,0.03368,1.81477,3.72912,1.04143,0.000147853,0.000147853,0.000147853
5,34.5555,1.92736,2.45652,1.04491,0.01433,0.25166,0.13382,0.04035,1.71658,3.56686,1.01141,0.000184215,0.000184215,0.000184215
6,40.022,1.81668,1.95435,1.06282,0.02794,0.51746,0.15972,0.05558,1.65654,3.47816,0.98956,0.00021888,0.00021888,0.00021888
7,45.422,1.92045,1.87524,1.04227,0.02894,0.55729,0.23671,0.08662,1.65021,3.40137,0.98053,0.000251847,0.000251847,0.000251847
8,50.8219,1.76195,1.68073,1.00421,0.02809,0.54719,0.24388,0.09237,1.71282,3.37713,0.99769,0.000283116,0.000283116,0.000283116
9,56.1888,1.79658,1.58112,1.03148,0.02739,0.52814,0.26673,0.12022,1.6505,3.40474,1.00646,0.000312688,0.000312688,0.000312688
10,61.5919,1.72254,1.49953,1.02508,0.0265,0.49841,0.23578,0.10678,1.64765,3.43505,1.03127,0.000340562,0.000340562,0.000340562
11,67.0217,1.76458,1.51437,1.03184,0.0261,0.44069,0.11602,0.05502,1.63754,3.59705,1.06055,0.000366739,0.000366739,0.000366739
12,72.4554,1.69459,1.46815,1.01463,0.02336,0.36277,0.05621,0.02958,1.60229,3.67817,1.08818,0.000391217,0.000391217,0.000391217
13,77.8558,1.67432,1.40699,1.02202,0.01984,0.27763,0.03796,0.02264,1.56286,3.76809,1.13216,0.000413998,0.000413998,0.000413998
