epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,83.2443,1.65837,1.31746,1.01736,0.01617,0.22944,0.05488,0.03151,1.6027,3.7766,1.14442,0.000435082,0.000435082,0.000435082
15,88.6215,1.65805,1.29304,1.01791,0.01835,0.24848,0.06096,0.03443,1.759,3.76805,1.17344,0.000454468,0.000454468,0.000454468
16,93.9551,1.72648,1.30446,1.03728,0.02206,0.3062,0.10212,0.05642,1.74696,3.67383,1.17125,0.000472156,0.000472156,0.000472156
17,99.4047,1.62797,1.22455,1.03552,0.02317,0.35498,0.13147,0.06614,1.73512,3.53909,1.19844,0.000488146,0.000488146,0.000488146
18,104.755,1.73476,1.21329,1.05643,0.02752,0.45253,0.16979,0.08515,1.69931,3.40009,1.17111,0.000502439,0.000502439,0.000502439
19,110.147,1.63331,1.15929,1.02803,0.03043,0.5215,0.22615,0.11745,1.61361,3.19223,1.10719,0.000515034,0.000515034,0.000515034
20,115.768,1.58718,1.16873,0.9874,0.0326,0.56854,0.31164,0.13795,1.63481,3.04645,1.07863,0.000525932,0.000525932,0.000525932
21,121.122,1.56377,1.13692,0.99669,0.03346,0.58874,0.35929,0.15357,1.66075,2.94554,1.08548,0.000535132,0.000535132,0.000535132
22,126.556,1.5653,1.09737,0.99914,0.79413,0.26965,0.38387,0.17666,1.57256,2.88897,1.06138,0.000542634,0.000542634,0.000542634
23,131.99,1.56005,1.08104,0.98463,0.97038,0.15411,0.39458,0.18069,1.52905,2.7938,1.05059,0.000548439,0.000548439,0.000548439
24,137.356,1.53026,1.03363,0.97118,0.99097,0.1135,0.48754,0.22341,1.52295,2.57302,1.0363,0.000552546,0.000552546,0.000552546
25,142.721,1.55703,1.06796,0.97561,1,0.23044,0.54288,0.26752,1.56109,2.25285,1.03139,0.000554955,0.000554955,0.000554955
26,148.288,1.52676,1.06194,0.98941,1,0.38961,0.61453,0.29805,1.57161,1.95006,1.0177,0.000555667,0.000555667,0.000555667
27,153.654,1.50852,1.0627,1.00826,0.99869,0.46841,0.62971,0.32359,1.49229,1.81467,0.98592,0.000554681,0.000554681,0.000554681
28,159.118,1.57491,1.07267,0.99915,0.98853,0.48743,0.63247,0.32823,1.47244,1.76807,0.98309,0.000551997,0.000551997,0.000551997
29,164.472,1.48437,1.05366,0.9676,0.98853,0.48743,0.63247,0.32823,1.47244,1.76807,0.98309,0.000547616,0.000547616,0.000547616
30,169.823,1.53816,1.02958,0.99208,0.97403,0.4891,0.63019,0.33602,1.44962,1.69774,0.97955,0.000541537,0.000541537,0.000541537
31,175.22,1.55167,1.00368,0.98339,0.96391,0.48891,0.63159,0.34367,1.46064,1.59784,0.98435,0.00053376,0.00053376,0.00053376
32,180.587,1.52582,0.99932,0.98254,0.98736,0.52073,0.63554,0.34755,1.49687,1.50276,0.99895,0.000524286,0.000524286,0.000524286
33,185.944,1.45348,1.02175,0.9927,0.98736,0.52073,0.63554,0.34755,1.49687,1.50276,0.99895,0.000513114,0.000513114,0.000513114
34,191.397,1.55112,0.9841,1.00603,0.97722,0.55488,0.63226,0.34665,1.46997,1.41136,0.98658,0.000495291,0.000495291,0.000495291
35,196.67,1.40993,1.02944,0.98171,0.96022,0.57088,0.63111,0.34558,1.48384,1.32897,0.99187,0.000466997,0.000466997,0.000466997
36,202.021,1.55516,1.00205,1.00405,0.96659,0.57864,0.63441,0.34887,1.48297,1.30042,0.99302,0.000438703,0.000438703,0.000438703
37,207.397,1.46962,0.96316,0.99049,0.96659,0.57864,0.63441,0.34887,1.48297,1.30042,0.99302,0.000410409,0.000410409,0.000410409
38,212.77,1.4443,0.95349,0.97066,0.97073,0.57864,0.63736,0.34863,1.46715,1.2696,0.98889,0.000382115,0.000382115,0.000382115
39,218.187,1.46521,0.94661,0.96546,0.96769,0.58142,0.63936,0.34784,1.48213,1.23482,0.99435,0.00035382,0.00035382,0.00035382
40,223.655,1.40857,0.97287,0.99404,0.9737,0.58635,0.6422,0.36102,1.44563,1.19284,0.99062,0.000325526,0.000325526,0.000325526
41,228.839,1.49976,1.09746,1.03114,0.9737,0.58635,0.6422,0.36102,1.44563,1.19284,0.99062,0.000297232,0.000297232,0.000297232
42,233.986,1.41944,1.04164,0.98151,0.98426,0.59895,0.64722,0.36806,1.42141,1.14919,0.98783,0.000268938,0.000268938,0.000268938
43,239.186,1.43206,1.042,0.99904,0.98108,0.59693,0.64449,0.34837,1.50779,1.15755,1.01573,0.000240644,0.000240644,0.000240644
44,244.349,1.50426,1.03151,0.99956,0.97971,0.59725,0.64457,0.33129,1.55971,1.14777,1.03348,0.000212349,0.000212349,0.000212349
45,249.509,1.49891,1.04205,0.99569,0.97971,0.59725,0.64457,0.33129,1.55971,1.14777,1.03348,0.000184055,0.000184055,0.000184055
46,254.57,1.45832,1.02619,0.98801,0.98005,0.60139,0.64507,0.33906,1.52769,1.11972,1.02254,0.000155761,0.000155761,0.000155761
47,259.719,1.42774,1.0016,0.98954,0.98039,0.60821,0.64817,0.35431,1.45918,1.06987,1.00013,0.000127467,0.000127467,0.000127467
48,264.87,1.38461,0.97049,0.99471,0.96941,0.61847,0.64681,0.37032,1.42075,1.01433,0.98401,9.91726e-05,9.91726e-05,9.91726e-05
49,269.996,1.39843,0.98248,0.97544,0.96941,0.61847,0.64681,0.37032,1.42075,1.01433,0.98401,7.08784e-05,7.08784e-05,7.08784e-05
50,275.152,1.40364,0.96719,0.97809,0.96869,0.61607,0.6487,0.3687,1.417,0.97795,0.98454,4.25842e-05,4.25842e-05,4.25842e-05
