epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.22494,2.01667,4.0959,1.21922,0.00513,0.07641,0.009,0.0029,1.86744,3.95663,1.09823,0.0001125,0.0001125,0.0001125
2,3.24869,1.82244,2.97558,1.06219,0.0182,0.30689,0.06784,0.0248,1.67786,3.63207,1.03634,0.000235149,0.000235149,0.000235149
3,4.24251,1.8322,2.04332,1.0425,0.03435,0.50117,0.17676,0.06696,1.79502,3.11595,1.05682,0.000355322,0.000355322,0.000355322
4,5.2658,1.75348,1.73987,1.04819,0.03853,0.70246,0.37214,0.18249,1.68467,2.55634,1.04509,0.000473021,0.000473021,0.000473021
5,6.25265,1.69624,1.57464,1.05518,0.0346,0.41101,0.19248,0.09279,1.74846,2.89855,1.10385,0.000588245,0.000588245,0.000588245
6,7.24937,1.65264,1.44388,1.04494,0.01915,0.23931,0.12094,0.05961,1.6668,3.47323,1.13289,0.000700994,0.000700994,0.000700994
7,8.20003,1.60893,1.31377,1.03331,0.02338,0.32962,0.21504,0.09961,1.73671,3.31148,1.13235,0.000811267,0.000811267,0.000811267
8,9.16536,1.60502,1.20473,1.04796,0.81738,0.11475,0.41337,0.20591,1.68002,2.75868,1.10121,0.000919066,0.000919066,0.000919066
9,10.1382,1.60552,1.14536,1.03659,0.93066,0.39723,0.65016,0.36248,1.54371,2.14148,1.07566,0.00102439,0.00102439,0.00102439
10,11.1329,1.6253,1.12722,1.0347,0.97346,0.53484,0.68223,0.36011,1.64041,1.83829,1.09009,0.00112724,0.00112724,0.00112724
11,12.1174,1.5782,1.08867,1.01896,0.97432,0.6188,0.71082,0.39967,1.5113,1.55347,1.0479,0.00112625,0.00112625,0.00112625
12,13.0854,1.58336,1.07526,1.01891,0.94361,0.65539,0.69836,0.36451,1.63729,1.42196,1.07301,0.00111388,0.00111388,0.00111388
13,14.0355,1.57502,1.01918,1.02091,0.92468,0.65763,0.71239,0.39403,1.58553,1.29431,1.07464,0.0011015,0.0011015,0.0011015
14,14.999,1.52139,0.99487,1.00915,0.95294,0.63926,0.70639,0.38637,1.59691,1.21091,1.03392,0.00108913,0.00108913,0.00108913
15,15.949,1.50527,0.99565,0.99593,0.95458,0.65798,0.72766,0.41224,1.51375,1.1975,1.02678,0.00107675,0.00107675,0.00107675
16,16.9157,1.51431,0.94871,0.99081,0.95976,0.66012,0.73713,0.37986,1.68799,1.10205,1.07378,0.00106437,0.00106437,0.00106437
17,17.8489,1.50838,0.94327,0.99671,0.94473,0.69127,0.74745,0.43158,1.52263,0.98423,1.03536,0.001052,0.001052,0.001052
18,18.832,1.48354,0.95744,0.99782,0.97288,0.67083,0.76242,0.4215,1.53422,0.98458,1.02423,0.00103962,0.00103962,0.00103962
19,19.7652,1.49784,0.90448,0.99352,0.95706,0.67715,0.7643,0.42239,1.56654,1.00374,1.04611,0.00102725,0.00102725,0.00102725
20,20.7249,1.5285,0.92273,0.99838,0.97092,0.68811,0.77968,0.43077,1.55175,1.01777,1.03338,0.00101488,0.00101488,0.00101488
21,21.6656,1.49106,0.9351,1.00044,0.91486,0.7192,0.78187,0.43061,1.58287,0.91077,1.04985,0.0010025,0.0010025,0.0010025
22,22.6657,1.49807,0.88983,0.9941,0.93383,0.73711,0.79553,0.45048,1.53371,0.84516,1.04405,0.000990125,0.000990125,0.000990125
23,23.6652,1.47175,0.88392,0.99003,0.88734,0.75262,0.78723,0.45746,1.46681,0.8055,1.01628,0.00097775,0.00097775,0.00097775
24,24.6571,1.49544,0.88401,1.00785,0.90291,0.76017,0.7921,0.45587,1.44423,0.79113,1.0035,0.000965375,0.000965375,0.000965375
25,25.6256,1.45785,0.87899,0.98527,0.87984,0.74815,0.78785,0.42505,1.5511,0.80408,1.03326,0.000953,0.000953,0.000953
26,26.5894,1.4698,0.85792,0.98,0.93044,0.76638,0.81086,0.46339,1.4259,0.74868,1.00545,0.000940625,0.000940625,0.000940625
27,27.5488,1.4553,0.84807,0.9785,0.90428,0.7926,0.81084,0.4531,1.48097,0.76877,1.01502,0.00092825,0.00092825,0.00092825
28,28.5245,1.41116,0.83537,0.96519,0.92704,0.75604,0.79558,0.44728,1.47157,0.7978,1.02012,0.000915875,0.000915875,0.000915875
