epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,29.503,1.43001,0.8379,0.97726,0.87899,0.77328,0.79125,0.4295,1.54255,0.79027,1.02939,0.0009035,0.0009035,0.0009035
30,30.475,1.45249,0.83772,0.96255,0.9182,0.77946,0.80063,0.45899,1.467,0.79128,1.01752,0.000891125,0.000891125,0.000891125
31,31.4074,1.405,0.80833,0.97194,0.97034,0.76902,0.82237,0.45025,1.52863,0.77699,1.046,0.00087875,0.00087875,0.00087875
32,32.349,1.41556,0.81425,0.98938,0.9309,0.76764,0.79766,0.42606,1.55802,0.79409,1.04255,0.000866375,0.000866375,0.000866375
33,33.285,1.43829,0.8287,0.9896,0.96783,0.78662,0.81737,0.44982,1.48338,0.76403,1.02044,0.000854,0.000854,0.000854
34,34.2413,1.41182,0.78951,0.96169,0.95928,0.78622,0.81702,0.42748,1.58478,0.77835,1.04009,0.000841625,0.000841625,0.000841625
35,35.1866,1.43154,0.81968,0.9698,0.966,0.78485,0.81761,0.46368,1.4636,0.75567,1.00944,0.00082925,0.00082925,0.00082925
36,36.1489,1.40595,0.80521,0.97405,0.91428,0.78831,0.80983,0.45679,1.48994,0.76748,1.02446,0.000816875,0.000816875,0.000816875
37,37.0951,1.37597,0.76504,0.97006,0.95714,0.79546,0.81517,0.44312,1.52887,0.75628,1.03154,0.0008045,0.0008045,0.0008045
38,38.0438,1.40145,0.79985,0.97903,0.95505,0.78408,0.81401,0.46237,1.46266,0.75574,1.0127,0.000792125,0.000792125,0.000792125
39,38.9771,1.37436,0.79509,0.96238,0.97802,0.78139,0.81496,0.44515,1.51464,0.76978,1.02172,0.00077975,0.00077975,0.00077975
40,39.9431,1.40665,0.79686,0.96525,0.9621,0.77996,0.81799,0.47531,1.41367,0.7417,1.01058,0.000767375,0.000767375,0.000767375
41,40.9097,1.41404,0.78363,0.96692,0.96806,0.77906,0.82075,0.45268,1.53524,0.7745,1.03389,0.000755,0.000755,0.000755
42,41.9569,1.39497,0.78578,0.96481,0.92029,0.79812,0.81948,0.4632,1.45009,0.73367,1.01191,0.000742625,0.000742625,0.000742625
43,42.9342,1.3592,0.76268,0.96507,0.92837,0.79561,0.83925,0.47444,1.47581,0.74075,1.01225,0.00073025,0.00073025,0.00073025
44,43.8855,1.36751,0.76402,0.94983,0.93476,0.79696,0.84908,0.47443,1.44126,0.7662,1.00245,0.000717875,0.000717875,0.000717875
45,44.8592,1.35651,0.75356,0.95239,0.96825,0.78578,0.85436,0.46801,1.48373,0.75952,1.00922,0.0007055,0.0007055,0.0007055
46,45.8233,1.36586,0.75455,0.96899,0.9613,0.78025,0.85026,0.47558,1.4195,0.72071,1.00054,0.000693125,0.000693125,0.000693125
47,46.7979,1.36674,0.76569,0.94619,0.97463,0.78764,0.85151,0.45884,1.51274,0.74357,1.02173,0.00068075,0.00068075,0.00068075
48,47.7693,1.33998,0.751,0.96095,0.97079,0.77622,0.84515,0.47304,1.45015,0.72209,1.02106,0.000668375,0.000668375,0.000668375
49,48.722,1.33055,0.73157,0.95305,0.96607,0.78685,0.84985,0.46258,1.47255,0.72153,1.01748,0.000656,0.000656,0.000656
50,49.6816,1.33642,0.74977,0.94983,0.95766,0.78479,0.86174,0.45433,1.53243,0.73562,1.02816,0.000643625,0.000643625,0.000643625
51,50.634,1.35148,0.73371,0.9548,0.96559,0.75158,0.82237,0.46031,1.50648,0.75662,1.02256,0.00063125,0.00063125,0.00063125
52,51.5814,1.36964,0.75113,0.96404,0.91824,0.79274,0.83335,0.45086,1.51039,0.73151,1.02419,0.000618875,0.000618875,0.000618875
53,52.5149,1.37966,0.73601,0.95601,0.91603,0.79953,0.82832,0.46274,1.53029,0.73434,1.02846,0.0006065,0.0006065,0.0006065
54,53.5294,1.33959,0.73688,0.95468,0.94273,0.78805,0.8436,0.47837,1.43144,0.70888,1.00272,0.000594125,0.000594125,0.000594125
55,54.4427,1.35009,0.73293,0.95902,0.92224,0.7834,0.83631,0.46907,1.49591,0.72919,1.01889,0.00058175,0.00058175,0.00058175
56,55.3802,1.2859,0.70855,0.94934,0.94479,0.78399,0.83607,0.48191,1.4191,0.6826,1.00207,0.000569375,0.000569375,0.000569375
57,56.3097,1.31183,0.70606,0.93631,0.93981,0.78515,0.82563,0.47473,1.46187,0.68806,1.00986,0.000557,0.000557,0.000557
58,57.2466,1.34769,0.71652,0.94899,0.93485,0.77951,0.83539,0.47313,1.47919,0.69427,1.01541,0.000544625,0.000544625,0.000544625
59,58.1724,1.33191,0.71322,0.95596,0.93661,0.78134,0.82243,0.4776,1.45949,0.70851,1.01507,0.00053225,0.00053225,0.00053225
60,59.0936,1.30406,0.70614,0.94846,0.96969,0.80433,0.84226,0.46804,1.44669,0.6886,1.00541,0.000519875,0.000519875,0.000519875
61,60.0117,1.31339,0.70835,0.94588,0.9691,0.79495,0.84517,0.46683,1.47674,0.70183,1.01688,0.0005075,0.0005075,0.0005075
62,60.9472,1.30082,0.69528,0.94258,0.96393,0.79486,0.84538,0.47992,1.47128,0.68589,1.01077,0.000495125,0.000495125,0.000495125
63,61.8715,1.2823,0.69429,0.9372,0.92472,0.78432,0.8492,0.46344,1.51176,0.70067,1.02834,0.00048275,0.00048275,0.00048275
64,62.7967,1.30379,0.70406,0.94861,0.96703,0.79912,0.86157,0.47387,1.44916,0.68912,1.00241,0.000470375,0.000470375,0.000470375
65,63.7453,1.28396,0.68397,0.94577,0.95844,0.80153,0.85004,0.47321,1.46612,0.68234,1.0082,0.000458,0.000458,0.000458
66,64.7011,1.28171,0.69291,0.93394,0.97618,0.79812,0.84923,0.47583,1.47193,0.68668,1.00712,0.000445625,0.000445625,0.000445625
67,65.6686,1.27268,0.68402,0.94257,0.96252,0.80432,0.85061,0.47858,1.4545,0.68252,1.00216,0.00043325,0.00043325,0.00043325
68,66.649,1.27012,0.68456,0.94653,0.97089,0.78596,0.84219,0.47654,1.42861,0.66987,0.99731,0.000420875,0.000420875,0.000420875
69,67.5955,1.2684,0.68273,0.93945,0.93532,0.81611,0.86365,0.47321,1.46477,0.68841,1.01014,0.0004085,0.0004085,0.0004085
70,68.5572,1.26147,0.68898,0.93898,0.92971,0.81276,0.86328,0.47702,1.42261,0.6784,1.00364,0.000396125,0.000396125,0.000396125
71,69.5902,1.25984,0.67686,0.9385,0.94274,0.81378,0.85366,0.47044,1.45147,0.68038,1.01003,0.00038375,0.00038375,0.00038375
72,70.5402,1.25128,0.66784,0.92297,0.95037,0.81365,0.84527,0.47632,1.44706,0.67992,1.0141,0.000371375,0.000371375,0.000371375
73,71.5659,1.25785,0.66569,0.92958,0.94909,0.80295,0.84313,0.46594,1.47939,0.70339,1.02444,0.000359,0.000359,0.000359
74,72.5301,1.24196,0.66626,0.93141,0.96015,0.79999,0.85052,0.47103,1.45266,0.69023,1.01365,0.000346625,0.000346625,0.000346625
75,73.4719,1.24415,0.66239,0.92952,0.96155,0.80042,0.84665,0.4772,1.45709,0.68024,1.01174,0.00033425,0.00033425,0.00033425
76,74.438,1.2467,0.66388,0.9354,0.94802,0.82277,0.84519,0.48186,1.44346,0.67245,1.00489,0.000321875,0.000321875,0.000321875
77,75.4014,1.24273,0.65683,0.93142,0.96809,0.80343,0.84419,0.48313,1.43191,0.66998,1.00075,0.0003095,0.0003095,0.0003095
78,76.4318,1.25032,0.67169,0.93567,0.9722,0.80258,0.84248,0.47962,1.43397,0.6628,1.00516,0.000297125,0.000297125,0.000297125
79,77.3651,1.2425,0.6531,0.92411,0.94878,0.81762,0.84241,0.47522,1.4549,0.66674,1.01048,0.00028475,0.00028475,0.00028475
80,78.3146,1.25467,0.67508,0.92931,0.95175,0.8127,0.84226,0.48615,1.45209,0.68424,1.01257,0.000272375,0.000272375,0.000272375
81,79.2792,1.22547,0.65402,0.92591,0.94839,0.81225,0.84635,0.48629,1.43171,0.67862,1.00592,0.00026,0.00026,0.00026
82,80.2317,1.22339,0.66162,0.92682,0.96999,0.79413,0.84228,0.4808,1.44949,0.67127,1.01228,0.000247625,0.000247625,0.000247625
83,81.1823,1.22726,0.6542,0.92542,0.96603,0.79285,0.84484,0.48145,1.45596,0.67533,1.01309,0.00023525,0.00023525,0.00023525
84,82.1483,1.23201,0.6527,0.92685,0.90608,0.82419,0.84767,0.48641,1.44949,0.66861,1.01075,0.000222875,0.000222875,0.000222875
85,83.1485,1.21966,0.64475,0.92861,0.97358,0.78146,0.8476,0.49121,1.44708,0.6715,1.00916,0.0002105,0.0002105,0.0002105
86,84.1312,1.19299,0.64215,0.91837,0.89757,0.82796,0.85213,0.48887,1.44662,0.66305,1.00695,0.000198125,0.000198125,0.000198125
87,85.076,1.21558,0.64196,0.91925,0.89995,0.82774,0.85194,0.48459,1.46016,0.66426,1.00856,0.00018575,0.00018575,0.00018575
88,86.0146,1.21331,0.64649,0.92413,0.87109,0.81923,0.83917,0.48917,1.44309,0.65276,1.00507,0.000173375,0.000173375,0.000173375
89,86.9526,1.2172,0.64199,0.92262,0.88316,0.82924,0.85016,0.49435,1.43343,0.64762,1.00246,0.000161,0.000161,0.000161
90,87.9145,1.21243,0.63801,0.92197,0.97141,0.78828,0.86202,0.48948,1.47134,0.657,1.01438,0.000148625,0.000148625,0.000148625
91,101.981,1.2098,0.69192,0.93247,0.87427,0.82981,0.85754,0.48887,1.45273,0.65493,1.0105,0.00013625,0.00013625,0.00013625
92,103.001,1.18754,0.65297,0.93742,0.91025,0.83014,0.86383,0.48549,1.44891,0.66014,1.0115,0.000123875,0.000123875,0.000123875
93,103.949,1.17407,0.64441,0.92793,0.9735,0.79097,0.84376,0.48149,1.46264,0.666,1.01657,0.0001115,0.0001115,0.0001115
94,104.884,1.17493,0.63403,0.94063,0.97068,0.79093,0.85245,0.48908,1.43811,0.66104,1.01057,9.9125e-05,9.9125e-05,9.9125e-05
95,105.827,1.15604,0.635,0.92924,0.95054,0.79741,0.85281,0.48284,1.44392,0.66395,1.01135,8.675e-05,8.675e-05,8.675e-05
96,106.764,1.15281,0.63031,0.92517,0.95494,0.79064,0.85062,0.48545,1.4455,0.66384,1.01126,7.4375e-05,7.4375e-05,7.4375e-05
97,107.744,1.15406,0.62777,0.9285,0.88165,0.8208,0.84415,0.48617,1.43974,0.66446,1.01033,6.2e-05,6.2e-05,6.2e-05
98,108.664,1.15163,0.6335,0.92806,0.95895,0.78842,0.84198,0.48618,1.43493,0.66113,1.00825,4.9625e-05,4.9625e-05,4.9625e-05
99,109.572,1.13296,0.62104,0.92623,0.96027,0.78529,0.84081,0.48306,1.43766,0.66134,1.00808,3.725e-05,3.725e-05,3.725e-05
100,110.525,1.15036,0.63086,0.92078,0.96855,0.78618,0.84174,0.48136,1.44115,0.6629,1.00911,2.4875e-05,2.4875e-05,2.4875e-05
