epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.733056,2.21941,4.27545,1.36182,0.00061,0.00952,0.00032,0.00013,1.91201,3.99241,1.11679,2.5e-05,2.5e-05,2.5e-05
2,1.07341,2.28079,4.23996,1.31401,0.00127,0.01905,0.00072,0.00029,1.80619,3.97335,1.0752,6.12625e-05,6.12625e-05,6.12625e-05
3,1.46564,2.012,3.98658,1.19439,0.00269,0.0381,0.00858,0.0031,1.74973,3.96016,1.0405,9.604e-05,9.604e-05,9.604e-05
4,1.86271,1.89465,3.58355,1.0771,0.00638,0.08571,0.05357,0.0143,1.80778,3.89899,1.03457,0.000129332,0.000129332,0.000129332
5,2.32381,1.90313,3.02781,1.04059,0.00685,0.08687,0.04515,0.00926,2.03332,3.83095,1.08499,0.00016114,0.00016114,0.00016114
6,2.6995,2.00439,2.68106,1.09426,0.01055,0.13506,0.06972,0.0192,2.01697,3.77946,1.0627,0.000191463,0.000191463,0.000191463
7,3.09985,2.0005,2.51872,1.08543,0.0187,0.23146,0.12516,0.03865,1.66568,3.64774,0.96868,0.0002203,0.0002203,0.0002203
8,3.48651,1.86468,2.06677,1.05617,0.02606,0.3368,0.14104,0.04756,1.6135,3.61229,0.98998,0.000247653,0.000247653,0.000247653
9,3.88078,1.84778,1.85199,1.06734,0.03462,0.49784,0.16706,0.05907,1.57472,3.53533,1.00171,0.00027352,0.00027352,0.00027352
10,4.2461,1.78567,1.61828,1.03723,0.03425,0.49784,0.17074,0.05567,1.56931,3.48026,0.9961,0.000297903,0.000297903,0.000297903
11,4.6372,1.83617,1.63337,1.0343,0.03575,0.51919,0.13503,0.04464,1.60586,3.54506,1.01549,0.0003208,0.0003208,0.0003208
12,5.00088,1.8058,1.4976,1.02441,0.03504,0.50967,0.10121,0.03694,1.61147,3.5814,1.02859,0.000342213,0.000342213,0.000342213
13,5.43664,1.78179,1.47484,1.04328,0.02839,0.39019,0.15696,0.05966,1.58396,3.50436,1.05344,0.00036214,0.00036214,0.00036214
14,5.82385,1.72256,1.43118,1.05326,0.02557,0.34978,0.1556,0.06616,1.56996,3.43717,1.0485,0.000380582,0.000380582,0.000380582
15,6.214,1.64243,1.3329,1.04649,0.02937,0.39856,0.27181,0.11416,1.62096,3.30596,1.06846,0.00039754,0.00039754,0.00039754
16,6.59321,1.66049,1.32066,1.01736,0.03134,0.41818,0.29228,0.12657,1.58924,3.30773,1.05585,0.000413012,0.000413012,0.000413012
17,6.96994,1.69046,1.31278,1.03696,0.02777,0.36999,0.22703,0.10399,1.51769,3.4207,1.05964,0.000427,0.000427,0.000427
18,7.33051,1.57293,1.24351,0.98829,0.02451,0.32121,0.21368,0.1021,1.54239,3.41962,1.07887,0.000439502,0.000439502,0.000439502
19,7.68187,1.57177,1.21745,1.00308,0.03234,0.40981,0.30714,0.14048,1.61309,3.22184,1.10486,0.00045052,0.00045052,0.00045052
20,8.0478,1.64637,1.16641,1.01267,0.04535,0.53824,0.41144,0.18429,1.65168,2.97703,1.10028,0.000460053,0.000460053,0.000460053
21,8.42345,1.62338,1.1479,1.00485,0.04822,0.57807,0.47755,0.22526,1.56599,2.78765,1.0693,0.0004681,0.0004681,0.0004681
22,8.8472,1.56388,1.1364,1.01037,0.05157,0.61732,0.50645,0.24442,1.52984,2.67088,1.0615,0.000474663,0.000474663,0.000474663
23,9.23057,1.58769,1.14388,1.03969,0.05311,0.62742,0.5252,0.24682,1.55191,2.67207,1.05883,0.00047974,0.00047974,0.00047974
24,9.60963,1.58439,1.08601,1.00779,0.05441,0.64762,0.57995,0.26273,1.52489,2.56933,1.03494,0.000483333,0.000483333,0.000483333
