epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,9.97223,1.50384,1.08264,1.00952,0.05366,0.65714,0.58686,0.28254,1.54258,2.4967,1.02264,0.00048544,0.00048544,0.00048544
26,10.3472,1.57064,1.04726,0.9685,0.05043,0.65714,0.57238,0.25753,1.57887,2.47237,1.01713,0.000486063,0.000486063,0.000486063
27,10.6977,1.53855,1.12974,1.00895,0.04907,0.64704,0.55892,0.25787,1.56749,2.46456,1.01924,0.0004852,0.0004852,0.0004852
28,11.0654,1.58717,1.09166,1.01031,0.9285,0.47646,0.57459,0.2684,1.62284,2.41267,1.05736,0.000482852,0.000482852,0.000482852
29,11.4321,1.58171,1.03501,1.00511,0.9285,0.47646,0.57459,0.2684,1.62284,2.41267,1.05736,0.00047902,0.00047902,0.00047902
30,11.8234,1.55016,1.06693,1.03512,1,0.20985,0.60867,0.30304,1.56605,2.14775,1.03695,0.000473703,0.000473703,0.000473703
31,12.2138,1.55299,1.04876,1.04646,1,0.37253,0.63175,0.32847,1.48454,1.91219,1.00009,0.0004669,0.0004669,0.0004669
32,12.6344,1.55149,1.02532,0.98507,0.98355,0.44986,0.62842,0.33852,1.45583,1.80212,1.00331,0.000458613,0.000458613,0.000458613
33,12.9982,1.49433,1.01335,0.98322,0.98355,0.44986,0.62842,0.33852,1.45583,1.80212,1.00331,0.00044884,0.00044884,0.00044884
34,13.3732,1.54819,1.06551,0.97785,0.97979,0.51215,0.6378,0.34851,1.46795,1.69898,1.00556,0.00043325,0.00043325,0.00043325
35,13.7478,1.52291,1.04093,0.99653,0.98289,0.53224,0.64393,0.35021,1.52909,1.61989,1.02565,0.0004085,0.0004085,0.0004085
36,14.1228,1.50523,0.99577,0.97533,0.94409,0.54468,0.6393,0.34415,1.54961,1.52681,1.02831,0.00038375,0.00038375,0.00038375
37,14.4641,1.44682,1.01107,1.01032,0.94409,0.54468,0.6393,0.34415,1.54961,1.52681,1.02831,0.000359,0.000359,0.000359
38,14.8473,1.49409,0.98517,0.97471,0.94134,0.55984,0.63902,0.3491,1.49807,1.39389,1.01471,0.00033425,0.00033425,0.00033425
39,15.2305,1.44737,0.95898,0.97194,0.93007,0.56329,0.63746,0.34963,1.46207,1.27776,1.01063,0.0003095,0.0003095,0.0003095
40,15.5998,1.46096,0.99736,0.96866,0.94353,0.58366,0.64077,0.34968,1.46739,1.23008,1.01225,0.00028475,0.00028475,0.00028475
41,18.927,1.48859,1.09534,1.0275,0.94353,0.58366,0.64077,0.34968,1.46739,1.23008,1.01225,0.00026,0.00026,0.00026
42,19.633,1.45725,1.05509,1.0248,0.96925,0.5826,0.64472,0.35889,1.46552,1.20718,1.00861,0.00023525,0.00023525,0.00023525
43,20.0031,1.47323,1.07871,1.00522,0.96955,0.57849,0.64463,0.35431,1.48797,1.22008,1.0119,0.0002105,0.0002105,0.0002105
44,20.3736,1.37878,1.0468,0.98564,0.97105,0.59885,0.6474,0.35114,1.49093,1.21425,1.00596,0.00018575,0.00018575,0.00018575
45,20.8335,1.47014,1.03405,1.00626,0.97105,0.59885,0.6474,0.35114,1.49093,1.21425,1.00596,0.000161,0.000161,0.000161
46,21.1934,1.4312,1.00124,1.00926,0.96784,0.59885,0.64747,0.36495,1.46844,1.17085,1.00195,0.00013625,0.00013625,0.00013625
47,21.5689,1.48915,1.06329,0.97543,0.97341,0.60519,0.64763,0.35655,1.45149,1.11228,0.99779,0.0001115,0.0001115,0.0001115
48,21.9226,1.43961,1.00445,0.98989,0.97692,0.60175,0.64842,0.35955,1.44508,1.05949,0.99658,8.675e-05,8.675e-05,8.675e-05
49,22.2638,1.43345,1.00184,0.96882,0.97692,0.60175,0.64842,0.35955,1.44508,1.05949,0.99658,6.2e-05,6.2e-05,6.2e-05
50,22.6338,1.43512,0.99179,0.99663,0.9638,0.60757,0.6451,0.36199,1.44825,1.02008,0.99641,3.725e-05,3.725e-05,3.725e-05
